Order_ID,Order_Date,Customer_ID,Customer_Name,City,Product_Category,Product_Name,Quantity,Price,Discount,Sales
100000,7/11/2025,C6713,Customer_1910,Jaipur,Home Appliances,Air Purifier,3,15376,0.15,39208.8
100001,7/4/2024,C9494,Customer_1335,Kolkata,Home Appliances,Microwave,2,29729,0.1,53512.2
100002,4/2/2025,C3479,Customer_799,Ahmedabad,Clothing,T-Shirt,2,6865,0.05,13043.5
100003,8/19/2024,C9343,Customer_2998,Pune,Clothing,T-Shirt,4,22903,0.2,73289.6
100004,4/12/2025,C4603,Customer_2826,Hyderabad,Clothing,Jacket,4,46128,0.2,147609.6
100005,12/21/2024,C8203,Customer_2639,Nagpur,Home Appliances,Microwave,5,39074,0.15,166064.5
100006,3/21/2025,C9881,Customer_2435,Mumbai,Electronics,Smartphone,5,12071,0.1,54319.5
100007,5/7/2025,C2443,Customer_1865,Bangalore,Electronics,Smartphone,1,46372,0.1,41734.8
100008,2/13/2024,C3162,Customer_1210,Bangalore,Home Appliances,Mixer,5,47524,0.15,201977
100009,2/23/2024,C7152,Customer_481,Hyderabad,Home Appliances,Air Fryer,2,8081,0.2,12929.6
100010,8/26/2024,C6765,Customer_1064,Bangalore,Electronics,Headphones,5,35954,0.1,161793
100011,7/7/2024,C4873,Customer_1099,Chennai,Home Appliances,Microwave,3,11310,0,33930
100012,7/13/2025,C7376,Customer_1893,Jaipur,Clothing,Jeans,1,20744,0,20744
100013,6/11/2024,C1987,Customer_1578,Pune,Electronics,Laptop,2,4678,0.2,7484.8
100014,9/5/2025,C8463,Customer_2795,Bangalore,Furniture,Coffee Table,3,35228,0,105684
100015,4/5/2024,C2340,Customer_955,Jaipur,Clothing,Jacket,2,49296,0.2,78873.6
100016,6/6/2025,C9880,Customer_2011,Delhi,Home Appliances,Mixer,4,4767,0.2,15254.4
100017,12/15/2025,C7617,Customer_787,Hyderabad,Home Appliances,Microwave,5,21816,0.2,87264
100018,1/24/2024,C2912,Customer_1267,Nagpur,Home Appliances,Air Purifier,2,28419,0,56838
100019,6/6/2025,C7285,Customer_953,Hyderabad,Home Appliances,Air Purifier,3,48119,0,144357
100020,12/20/2024,C7005,Customer_1300,Nagpur,Home Appliances,Air Purifier,5,26037,0.2,104148
100021,12/23/2025,C1550,Customer_2220,Delhi,Furniture,Coffee Table,2,6690,0,13380
100022,2/20/2025,C6194,Customer_1623,Nagpur,Home Appliances,Mixer,4,13685,0.2,43792
100023,9/4/2024,C4819,Customer_87,Pune,Clothing,Jacket,3,23821,0.1,64316.7
100024,12/26/2025,C5293,Customer_1085,Pune,Electronics,Smartwatch,3,8393,0.1,22661.1
100025,9/17/2025,C6625,Customer_993,Delhi,Furniture,Office Chair,3,22285,0.2,53484
100026,7/30/2025,C3728,Customer_1820,Chennai,Clothing,Jeans,4,48994,0.1,176378.4
100027,7/31/2024,C4597,Customer_820,Chennai,Home Appliances,Air Purifier,3,29112,0.15,74235.6
100028,10/17/2025,C9923,Customer_430,Jaipur,Electronics,Headphones,4,40453,0.2,129449.6
